# Comments are enabled by "#" in his tab-separated values (TSV) file
## 每
海	iming
## 曾
僧	iming
層	iming
憎	iming
贈	iming
## 空
空	ipa	0x110ab6
## 象
像	ipa	0x110311
## 包
包	ipa	0x11039c
## 柬
蘭	ipa	0x110f61
## 吳
誤	ipa	0x111037
虞	ipa	0x110f78
## 西
要	ipa	0x111006
覆	ipa	0x111008
## 那
那	ipa	0x111209
## 俞
俞	ipa	0x11033e
喻	ipa	0x110411
愈	ipa	0x1105fb
匬	ipa	0x1103a2
愉	ipa	0x1105fd
諭	ipa	0x111049
輸	ipa	0x111104
逾	ipa	0x111184
媮	ipa	婾
揄	ipa	U+FA8D # U+63C4	ipa	U+FA8D
榆	ipa	楡
偷	ipa	偸
## 青
青	ipa	靑
請	ipa	0x111041
情	ipa	0x1105ef
清	ipa	淸
## 德
德	ipa	0x1105d0
## 采
菜	ipa	0x110d70
## 戶
所	ipa	0x110653
## 爵
爵	ipa	0x110925
## 直/真
真	ipa	眞
值	ipa	値
巔	ipa	巓
## 類
類	iming
## 己已巳
起	ipa	0x1110c3
## 平
平	ipa	0x11057a
## 幷并
倂	ipa	0x1102e5
併	ipa	0x1102e5
并	ipa	幷
## 弱
弱	ipa	0x1105af
## 監
監	ipa	0x1109e9
## 微
媺	noto
微	noto
溦	noto
癓	noto
矀	noto
薇	noto
覹	noto
霺	noto
㜫	noto
㵟	noto
䉠	noto
##  missing glyphs 
澙	iming
蓤	noto
## 
䷀	iming
䷁	iming
䷂	iming
䷃	iming
䷄	iming
䷅	iming
䷆	iming
䷇	iming
䷈	iming
䷉	iming
䷊	iming
䷋	iming
䷌	iming
䷍	iming
䷎	iming
䷏	iming
䷐	iming
䷑	iming
䷒	iming
䷓	iming
䷔	iming
䷕	iming
䷖	iming
䷗	iming
䷘	iming
䷙	iming
䷚	iming
䷛	iming
䷜	iming
䷝	iming
䷞	iming
䷟	iming
䷠	iming
䷡	iming
䷢	iming
䷣	iming
䷤	iming
䷥	iming
䷦	iming
䷧	iming
䷨	iming
䷩	iming
䷪	iming
䷫	iming
䷬	iming
䷭	iming
䷮	iming
䷯	iming
䷰	iming
䷱	iming
䷲	iming
䷳	iming
䷴	iming
䷵	iming
䷶	iming
䷷	iming
䷸	iming
䷹	iming
䷺	iming
䷻	iming
䷼	iming
䷽	iming
䷾	iming
䷿	iming
## Use the same glyph form in printing for all variant code points. This is 
## intended for printing only. For other use cases comment or remove when 
## appropriate.
眾	ipa	衆
為	ipa	爲
即	ipa	卽
既	ipa	旣
## Punctuations
## Simplified Chinese (SimSun-like fonts): BabelonStone Han
：	sc
；	sc
## Serif (Times New Roman-like fonts): FreeSerif
？	serif	?
！	serif	!
